cet_score,jee_score,caste,annual_income,EWS,TFWS,branch,admission_taken,fee_type,target
88,99,ST,536670,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
78,65,OBC,667827,0,1,INFT,Admitted,OBC,INFT_Admitted_OBC
64,61,OPEN,340056,1,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
92,66,OPEN,319057,1,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
57,92,OPEN,639087,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
70,81,OPEN,607800,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
88,59,OPEN,204843,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
68,79,OPEN,543942,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
72,72,OPEN,148784,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
60,51,ST,213034,0,0,BIOM,Admitted,ST,BIOM_Admitted_ST
60,76,OPEN,534044,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
73,55,ST,824886,0,1,EXCS,Admitted,ST,EXCS_Admitted_ST
85,54,OBC,154362,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
89,53,OPEN,153997,0,1,EXCS,Admitted,TFWS,EXCS_Admitted_TFWS
73,58,OPEN,281413,0,0,None,NotAdmitted,None,None_NotAdmitted_None
52,57,OPEN,512289,0,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
71,69,OPEN,464543,1,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
51,46,OBC,900981,0,0,None,NotAdmitted,None,None_NotAdmitted_None
73,79,OPEN,943352,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
93,51,OPEN,840686,1,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
79,65,OPEN,568731,1,1,BIOM,Admitted,TFWS,BIOM_Admitted_TFWS
87,62,ST,884752,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
51,47,SC,513532,0,0,None,NotAdmitted,None,None_NotAdmitted_None
70,86,SC,257255,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
82,98,OPEN,980292,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
61,83,SC,648912,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
71,85,SC,817875,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
93,93,OBC,859072,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
74,55,ST,578997,0,0,EXCS,Admitted,ST,EXCS_Admitted_ST
98,83,OPEN,670993,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
76,68,ST,713614,0,0,INFT,Admitted,ST,INFT_Admitted_ST
91,90,ST,519972,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
77,63,OPEN,946822,1,0,BIOM,Admitted,EWS,BIOM_Admitted_EWS
65,48,OPEN,168369,0,0,None,NotAdmitted,None,None_NotAdmitted_None
64,70,ST,301893,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
96,82,OPEN,371733,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
100,86,OBC,737300,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
93,76,ST,959613,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
52,83,OBC,800146,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
86,89,OPEN,850046,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
100,90,OBC,747999,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
56,80,OPEN,176425,0,1,EXCS,Admitted,TFWS,EXCS_Admitted_TFWS
70,84,OBC,596297,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
58,81,OPEN,640282,0,1,EXCS,Admitted,TFWS,EXCS_Admitted_TFWS
88,77,OBC,211915,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
67,80,OBC,485105,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
53,47,SC,583414,0,0,None,NotAdmitted,None,None_NotAdmitted_None
74,53,OBC,204672,0,1,EXCS,Admitted,OBC,EXCS_Admitted_OBC
63,52,OBC,913071,0,1,BIOM,Admitted,OBC,BIOM_Admitted_OBC
99,77,OBC,379349,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
58,50,OPEN,418821,0,0,None,NotAdmitted,None,None_NotAdmitted_None
75,85,OBC,132930,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
51,83,OPEN,173313,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
69,48,ST,849211,0,0,EXTC,Admitted,ST,EXTC_Admitted_ST
77,57,OPEN,213153,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
96,93,OPEN,585725,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
